personality_word,word_valence,mean_val,mean_img,mean_freq
Unlovable,Negative,7.31658291457286,40.719387755102,17.1269035532995
Cruel,Negative,7.4572864321608,78.0558375634518,37.51269035533
Criminal,Negative,7.76884422110553,85.4568527918782,48.5279187817259
Monstrous,Negative,8.08585858585859,71.4670050761421,14.4060913705584
Fraudulent,Negative,8.15151515151515,51.8564102564103,27.9642857142857
Hateful,Negative,8.15577889447236,66.5736040609137,33.6243654822335
Predatory,Negative,8.37688442211055,73.0051020408163,22.4717948717949
Dishonest,Negative,8.76884422110553,59.3350253807107,40.3197969543147
Malicious,Negative,9.16161616161616,56.8928571428571,26.2690355329949
Stupid,Negative,9.23618090452261,67.5634517766497,64.6954314720812
Sadistic,Negative,9.24489795918367,65.7025641025641,18.8512820512821
Dirty,Negative,9.75879396984925,92.1015228426396,64.0862944162437
Venomous,Negative,9.77386934673367,73.492385786802,12.9538461538462
Barbaric,Negative,9.80904522613065,69.5612244897959,16.0659898477157
Unlikeable,Negative,10.0150753768844,53.3045685279188,32.9746192893401
Deceitful,Negative,10.1313131313131,54.3147208121827,24.1479591836735
Neglectful,Negative,10.1464646464646,61.1675126903553,24.3553299492386
False,Negative,10.1758793969849,45.994923857868,60.2233502538071
Disloyal,Negative,10.1859296482412,47.005076142132,24.3096446700508
Heartless,Negative,10.3165829145729,56.8730964467005,27.4263959390863
Uncaring,Negative,12.105527638191,60.746192893401,31.6294416243655
Vindictive,Negative,12.1179487179487,46.3862433862434,19.6839378238342
Narcissistic,Negative,12.1230769230769,58.9234693877551,29.2690355329949
Ignorant,Negative,12.2462311557789,54.3045685279188,48.4467005076142
Unreliable,Negative,12.3015075376884,48.1979695431472,50.0913705583756
Ungrateful,Negative,12.4723618090452,55.3654822335025,45.0152284263959
Treacherous,Negative,12.5353535353535,56.7434554973822,15.1785714285714
Disturbing,Negative,12.8492462311558,62.0710659898477,43.4111675126904
Selfish,Negative,12.8844221105528,63.010152284264,54.3756345177665
Destructive,Negative,12.9748743718593,80.0862944162437,32.9492385786802
Inconsiderate,Negative,13.2763819095477,52.3604060913706,46.7360406091371
Obnoxious,Negative,13.6515151515152,60.5459183673469,29.8934010152284
Disrespectful,Negative,13.6582914572864,59.741116751269,48.741116751269
Insincere,Negative,13.6938775510204,41.0,29.0561224489796
Desperate,Negative,13.7638190954774,64.9289340101523,44.5939086294416
Deceptive,Negative,14.005076142132,49.8571428571429,30.5692307692308
Hostile,Negative,14.0402010050251,72.2295918367347,31.3299492385787
Grim,Negative,14.1212121212121,65.0,41.005076142132
Unfriendly,Negative,14.1356783919598,66.0355329949239,39.5482233502538
Unstable,Negative,14.2211055276382,61.5532994923858,35.9543147208122
