Rank (Likability),Words,Likability scores
379,illogical,186
380,rash,186
381,unenthusiastic,186
382,inaccurate,185
383,noninquisitive,184
384,unagreeable,184
385,jumpy,183
386,possessive,183
387,purposeless,183
388,moody,182
389,unenterprising,180
390,unintellectual,180
391,unwise,180
392,oversensitive,179
393,inefficient,178
394,reckless,178
395,pompous,177
396,uncongenial,175
397,untidy,175
398,unaccomodating,174
399,noisy,173
400,squeamish,172
401,cynical,171
402,angry,169
403,listless,169
404,uninspiring,169
405,unintelligent,168
406,domineering,167
407,scolding,166
408,depressed,166
409,unobliging,165
410,pessimistic,164
411,unattentive,164
412,boisterous,163
413,suspicious,163
414,inattentive,162
415,overconfident,162
416,smug,161
417,unsociable,161
418,unproductive,160
419,wasteful,160
420,fickle,159
421,neglectful,159
422,short-tempered,159
423,hot-headed,158
424,unsocial,158
425,envious,157
426,overcritical,157
427,scheming,156
428,sly,156
429,weak,155
430,foolhardy,154
431,immature,154
432,dominating,153
433,showy,153
434,sloppy,153
435,unsympathetic,153
436,uncompromising,153
437,hot-tempered,152
438,neurotic,152
439,unsporting,152
440,finicky,150
441,resentful,150
442,unruly,150
443,fault-finding,148
444,messy,147
445,misfit,147
446,uninteresting,146
447,scornful,145
448,antisocial,144
449,irritable,143
450,stingy,143
451,tactless,142
452,careless,140
453,foolish,140
454,troublesome,140
455,ungracious,140
456,negligent,139
457,wishy-washy,139
458,profane,137
459,gloomy,136
460,helpless,136
461,disagreeable,134
462,touchy,134
463,irrational,130
464,tiresome,130
465,disobedient,128
466,complaining,127
467,lifeless,127
468,vain,127
469,lazy,126
470,unappreciative,126
471,maladjusted,123
472,aimless,122
473,boastful,122
474,dull,121
475,gossipy,119
476,unappealing,119
477,hypochondriac,118
478,irritating,118
479,petty,118
480,shallow,118
481,deceptive,117
482,grouchy,117
483,egotistical,116
484,meddlesome,116
485,uncivil,116
486,cold,113
487,unsportsmanlike,113
488,bossy,112
489,unpleasing,112
490,cowardly,110
491,discourteous,110
492,incompetent,110
493,childish,109
494,superficial,109
495,ungrateful,109
496,self -conceited,108
497,hard-hearted,107
498,unfair,107
499,irresponsible,106
500,prejudiced,106
501,bragging,104
502,jealous,104
503,unpleasant,104
504,unreliable,104
505,impolite,103
506,crude,102
507,nosey,102
508,humorless,101
509,quarrelsome,101
510,abusive,100
511,distrustful,99
512,intolerant,98
513,unforgiving,98
514,boring,97
515,unethical,97
516,unreasonable,97
517,self -centered,96
518,snobbish,96
519,unkindly,96
520,ill-mannered,95
521,ill-tempered,95
522,unfriendly,92
523,hostile,91
524,dislikable,90
525,ultra-critical,90
526,offensive,88
527,belligerent,86
528,underhanded,86
529,annoying,84
530,disrespectful,83
531,loud-mouthed,83
532,selfish,82
533,narrow-minded,80
534,vulgar,79
535,heartless,78
536,insolent,78
537,thoughtless,77
538,rude,76
539,conceited,74
540,greedy,72
541,spiteful,72
542,insulting,69
543,insincere,66
544,unkind,66
545,untrustworthy,65
546,deceitful,62
547,dishonorable,52
548,malicious,52
549,obnoxious,48
550,untruthful,43
551,dishonest,41
552,cruel,40
553,mean,37
554,phony,27
555,liar,26
